,participant_id,experiment_nr,step_count,gt_step_time,us_step_time,gt_cycle_time,us_cycle_time,gt_cadence,us_cadence,gt_ambulation_time,us_ambulation_time,gt_velocity,us_velocity,gt_step_length,us_step_length,uuid_name,age
143,p60,3,8,660.0,658.0,1320.0,1310.0,91.1,91.10629067245118,4610.0,4610.0,91.2,91.38047722342732,59.985,60.311114967462046,p60,28.0
144,p58,0,8,590.0,597.0,1175.0,1166.6666666666667,101.2,100.47846889952152,4150.0,4180.0,98.9,100.78086124401916,58.705,58.4528995215311,p58,24.0
145,p58,1,8,610.0,608.0,1220.0,1220.0,98.6,98.59154929577464,4260.0,4260.0,98.4,98.88826291079812,59.92,59.33295774647888,p58,24.0
146,p58,2,8,500.0,501.0,995.0,993.3333333333334,119.3,119.65811965811966,3520.0,3510.0,120.4,120.0182336182336,60.45,60.0091168091168,p58,24.0
147,p58,3,8,680.0,682.0,1355.0,1355.0,87.9,87.8661087866109,4780.0,4780.0,89.0,88.1305439330544,60.795,61.69138075313808,p58,24.0
148,p59,0,7,555.0,553.0,1095.0,1102.0,108.8,108.43373493975903,3310.0,3320.0,118.9,126.8867469879518,65.58,70.42214457831325,p59,30.0
149,p59,1,8,670.0,668.0,1335.0,1341.6666666666667,89.9,89.74358974358975,4670.0,4680.0,89.4,90.01367521367523,59.94499999999999,61.20929914529916,p59,30.0
150,p59,2,8,505.0,488.0,1000.0,985.0,119.7,122.80701754385964,3510.0,3420.0,119.4,123.1766081871345,59.870000000000005,61.58830409356725,p59,30.0
151,p59,3,8,655.0,658.0,1305.0,1306.6666666666667,91.3,91.10629067245118,4600.0,4610.0,91.9,91.38047722342732,60.260000000000005,59.39731019522777,p59,30.0
152,p55,0,7,530.0,528.0,1055.0,1050.0,113.2,113.56466876971608,3180.0,3170.0,118.6,132.8908517350158,62.865,70.43215141955837,p55,23.0
153,p55,1,8,1245.0,1244.0,2495.0,2495.0,48.2,48.220436280137775,8710.0,8710.0,48.3,48.36555683122847,59.885000000000005,61.90791274397244,p55,23.0
154,p55,2,8,760.0,782.0,1580.0,1531.6666666666667,78.1,76.64233576642336,5380.0,5480.0,77.7,76.87299270072992,62.195,56.88601459854014,p55,23.0
155,p55,3,8,830.0,841.0,1680.0,1693.3333333333333,72.2,71.30730050933785,5820.0,5890.0,72.4,71.52190152801359,60.085,60.07839728353141,p55,23.0
156,p39,0,7,555.0,551.0,1100.0,1108.0,108.8,108.76132930513594,3310.0,3310.0,112.8,127.27009063444108,62.245000000000005,69.3621993957704,p39,23.0
157,p39,1,8,670.0,635.0,1335.0,1278.3333333333333,89.7,94.38202247191012,4680.0,4450.0,89.8,94.66606741573034,59.815,62.47960449438202,p39,23.0
158,p39,2,8,565.0,561.0,1125.0,1125.0,106.9,106.8702290076336,3930.0,3930.0,108.5,107.19185750636132,60.62,60.02744020356234,p39,23.0
159,p39,3,8,635.0,630.0,1275.0,1261.6666666666667,94.0,95.23809523809524,4470.0,4410.0,95.1,95.524716553288,60.43,61.13581859410432,p39,23.0
160,p41,0,8,595.0,595.0,1185.0,1193.3333333333333,101.0,100.71942446043164,4160.0,4170.0,99.7,101.02254196642686,59.105,59.603299760191845,p41,33.0
161,p41,1,8,620.0,625.0,1250.0,1250.0,96.3,95.89041095890413,4360.0,4380.0,97.3,96.17899543378996,60.43,58.669187214611874,p41,33.0
162,p41,2,8,475.0,460.0,945.0,916.6666666666666,126.1,130.43478260869566,3330.0,3220.0,127.9,130.8273291925466,61.17,61.48884472049689,p41,33.0
